feedType,day,weight,watertemp,pH,salinity,DO,Ammonia,NitrousAcid,Nitrate,Mg/Ca,waterHardness,feeds
2,51,2.773333333,27.1,7.8,18.2,7.1,0,0,100,3,5.6,640
2,52,3.06,28,7.8,18.2,7.6,0,0,120,3,3.9,350
2,53,3.3,27.5,8,17.8,7.7,0,0,120,3,8.4,375
2,54,3.6,28,7.9,17.6,7.6,0,0,100,3,8.7,250
3,1,0.005,26.1,8.5,16.1,9.9,0.25,0,20,3.428571429,9.8,12
3,2,0.008388889,26.3,8.4,15.9,9.7,0.25,0,20,3.136363636,10.4,42
3,3,0.013777778,26.5,8.3,15.9,9.8,0.5,0,20,3.136363636,10.4,35
3,4,0.019166667,27.7,8.2,16,9.5,0.5,0,20,3.136363636,10.4,35
3,5,0.024555556,27.5,8.2,16,9.4,1,0,30,3.136363636,10.4,40
3,6,0.029944444,26.4,8.1,16,9.6,1,0,20,3.136363636,10.4,40
3,7,0.035333333,26.6,7.9,16,9.5,1,0.5,30,3.136363636,10.4,42
3,8,0.040722222,27.9,8,16,9.4,1,0.5,30,3.136363636,10.4,50
3,9,0.046111111,27.7,8,16,9.4,1,0.5,20,2.869565217,10.1,58
3,10,0.0515,27.5,8.2,16.2,9.3,1,0.25,20,2.869565217,10.1,70
3,11,0.056888889,27.5,8.2,16.1,9.3,1,0.5,20,2.869565217,10.1,72
3,12,0.062277778,27.5,8.2,16.1,9.3,2,0.5,20,3.136363636,12.1,78
3,13,0.067666667,27.7,8.3,16,9.3,2,0.5,20,3.136363636,11.2,90
3,14,0.073055556,27.7,8.2,16.3,9.3,4,0.5,40,3.136363636,12.1,86
3,15,0.078444444,27.3,8.3,16.3,9.3,4,0.5,40,3.136363636,12.1,92
3,16,0.083833333,26.8,8.2,16.5,9.3,4,1,80,3.136363636,12.1,85
3,17,0.089222222,26.9,8.1,16.5,9.2,4,1,80,3.136363636,12.1,100
3,18,0.094611111,27,7.9,16.2,9.1,0.25,20,100,3.136363636,12.1,110
3,19,0.1,27,8,16.2,9.3,0.25,20,70,3.136363636,12.1,140
3,20,0.1325,26.6,8,16.3,9.3,0.25,20,100,3,12.1,158
3,21,0.165,26.3,7.9,16.3,9.3,0.25,20,100,3,12.1,132
3,22,0.1975,26.8,7.8,16.3,9.1,0.25,20,90,3,12.1,150
3,23,0.23,26.5,7.8,16.3,9.2,0.25,20,100,3,12.1,92
3,24,0.243333333,27,7.7,16.2,9.1,0.25,20,90,3,6.7,148
3,25,0.256666667,27.5,7.7,16.3,9,0.25,20,90,3,6.7,158
3,26,0.27,27.2,7.7,16.3,9,0.25,20,90,3.136363636,5.9,150
3,27,0.275,27.1,7.6,15,8.9,0.25,20,90,3.136363636,5.9,230
3,28,0.28,26.6,7.5,14.7,9.1,0.25,20,100,2.64,5.6,252
3,29,0.285,27,7.4,14.3,9.1,0.25,20,110,3,5.3,220
3,30,0.29,26.3,7.2,14,9,0.25,20,110,3,5.3,225
3,31,0.295,26.8,7.2,13.8,8.9,0.25,20,80,3.157894737,3.9,225
3,32,0.3,26.9,7.2,13.6,8.9,0.25,20,110,3.157894737,3.9,235
3,33,0.305,27.5,7,13.6,8.4,0.25,15,160,3.157894737,3.9,240
3,34,0.31,27.7,7.1,13.5,8.5,0.25,15,160,3.157894737,4.5,245
3,35,0.31,27.1,7.2,13.5,8.6,0.25,15,160,3,4.5,250
3,36,0.31,26.9,7.3,13.5,8.4,0.25,20,160,3,7,262
3,37,0.31,26.8,7.7,14,8.6,0.25,20,300,3,7.6,210
4,1,0.003,27,8.5,13.5,7.7,0.25,1,100,3.45,14,12
4,2,0.010611111,26.7,8.5,13.5,7.7,0.25,1,100,3.3,14,42
4,3,0.018222222,26.6,8.5,13.5,7.8,0.25,1,100,3.3,14,34
4,4,0.025833333,27.4,8.5,13.5,7.8,0.25,1,100,3.3,14,36
4,5,0.033444444,27.8,8.5,13.5,7.8,0.25,1,100,3.3,14,38
4,6,0.041055556,27,8.5,13.5,8,0,1,100,3.3,14,38
4,7,0.048666667,27.1,8.5,13.5,8,0,1,100,3.3,14,42
4,8,0.056277778,28.1,8.5,13.5,8,0,1,100,3.3,14,50
4,9,0.063888889,28.1,8.5,13.5,8.1,0.25,1,100,3.315789474,14,58
4,10,0.0715,28,8.5,13.5,8.1,0.25,1,100,3.315789474,14,68
4,11,0.079111111,28.2,8.5,13.5,8.1,0.25,0.5,100,3.315789474,14,72
4,12,0.086722222,28.2,8.4,13.5,8,0.25,0.5,100,3,14,78
4,13,0.094333333,28.2,8.4,13.5,8,0.25,0.5,100,3,14,90
4,14,0.101944444,28,8.4,13.5,8.1,0.25,0.5,100,3.05,14,86
4,15,0.109555556,27.9,8.4,13.5,8,0.25,0.25,90,3.05,14,92
4,16,0.117166667,27.3,8.3,13.5,8,0.25,0.5,100,3,14,84
4,17,0.124777778,27.5,8.3,13.5,8.1,0.25,0.5,100,3.05,14,96
4,18,0.132388889,27.7,8.3,13.5,8.1,0.5,25,100,3.05,14,108
4,19,0.14,27.5,8.2,13.5,8.1,0.25,25,100,3.05,14,138
4,20,0.16,27,8.2,13.5,8,0.25,20,100,3.05,14,156
4,21,0.18,26.8,8.1,13.5,8,0.25,20,90,3.05,14,130
4,22,0.2,27.2,8.1,13.5,7.9,0.25,20,100,3.05,14,152
4,23,0.22,28.2,8,13.5,7.4,0.25,20,100,3.05,14,92
4,24,0.24,27.5,8.1,13.5,8,0.25,20,80,2.857142857,14,144
4,25,0.26,28,8,13.5,7.8,0.25,20,80,2.857142857,14,156
4,26,0.28,27.8,8,13.5,7.8,0.25,20,80,2.863636364,13.2,148
4,27,0.28625,27.6,7.9,13.5,7.6,0.25,20,80,2.863636364,13.2,158
4,28,0.2925,27.3,7.9,13.5,7.6,0.25,20,100,3.15,14,194
4,29,0.29875,27,7.8,13.5,7.6,0.25,20,110,3,9.8,208
4,30,0.305,27,7.7,13.5,7.6,0.25,20,110,3,9.8,212
4,31,0.31125,27.1,7.7,13.5,7.8,0.25,2,110,3.15,8.4,212
4,32,0.3175,27.1,7.6,12.9,7.6,0.25,2,110,3.15,8.4,220
4,33,0.32375,27.6,7.6,12.6,7.6,0.25,0.25,90,3.15,8.4,224
4,34,0.33,27.9,7.6,12.8,7.7,0.25,0.25,110,3.15,7.3,232
4,35,0.33,27.2,7.5,12.7,7.6,0.25,0.25,110,3.15,5.6,236
4,36,0.33,27,7.5,12.6,7.7,0.25,0.25,110,3.15,5,240
4,37,0.33,27,7.5,13,7.7,0.25,0,110,3.15,6.4,183
4,38,0.33,27.4,7.6,13,7.8,0.25,0,110,3.15,6.2,100
5,1,0.005,25.5,8.6,14.5,6.8,0.25,0,100,3,14,0
5,2,0.013,26.1,8.6,14.5,6.8,0.25,0,100,3,14,53
5,3,0.024,25.4,8.4,13.7,6.8,0.25,0.25,100,3,14,50
5,4,0.034,25.8,8.3,13.7,6.9,1,0.5,100,3.166666667,14,67
5,5,0.045,26.6,8.2,13.7,7,1,1,100,3.166666667,14,80
5,6,0.055,25.7,8.2,13.7,6.9,1,1,100,3.166666667,14,93
5,7,0.065,26,8.1,13.8,6.9,0.25,1,100,3.166666667,14,107
5,8,0.076,26.1,8.1,13.8,7,0.25,1,100,3,14,127
5,9,0.086,26.8,8.1,13.8,6.9,0.25,1,100,3,14,140
5,10,0.097,26.3,8.1,13.4,7,0.25,1,100,3,14,147
5,11,0.107,26.5,8,13.4,7,0.25,1,100,3,14,153
5,12,0.119,26.5,8.1,13.8,7.1,0.25,10,100,3,14,153
5,13,0.131,26.2,8.2,13.8,7.2,0.25,10,100,3,14,153
5,14,0.143,25.8,8.2,13.4,7.2,0.25,10,100,3,14,153
5,15,0.155,26,8.1,13.4,7.2,0.25,10,100,3,14,153
5,16,0.16,26.1,8.1,13.4,7.2,0.25,10,100,3,14,153
5,17,0.164,25.9,8.1,13.4,7.2,0.25,10,80,2.842105263,14,153
5,18,0.169,26.4,8.1,13.4,7.2,0.25,10,80,3,14,153
5,19,0.174,27.2,8,13.4,7.1,0.25,20,100,3,13.5,153
5,20,0.18,27.5,8,13.4,7.2,0.25,20,100,3,13.2,153
5,21,0.185,27.2,8.1,13.4,7.2,0.25,20,100,3,12.6,153
5,22,0.191,27.2,8.1,13.4,7.2,0.25,20,100,3,12.3,153
5,23,0.196,27.2,8,13.4,7.1,0.25,20,100,3,12.3,153
5,24,0.202,27.6,8,13.2,7.2,0.25,10,100,3,12.3,257
5,25,0.207,27.8,8,13.3,7.2,0.25,1,100,3,12.3,257
5,26,0.212,28.2,7.9,11.8,7.2,0.25,0.5,100,3,11.8,257
5,27,0.225,28,7.9,11.8,7.2,0.25,0.5,100,3,11.5,257
5,28,0.237,28.2,8,12,7.3,0.25,0.25,100,3,11.5,257
5,29,0.25,27.5,7.9,12,7.4,0.25,0.25,100,3,11.2,257
5,30,0.265,27.7,7.9,12,7.4,0.25,0.25,100,3,11.2,257
5,31,0.28,27.7,7.9,12,7.4,0.25,0.25,100,3,11.2,257
5,32,0.295,28.1,7.8,12,7.4,0.25,0.5,100,3,10,257
5,33,0.31,28,7.9,12,7.4,0.25,0.5,100,3,10,344
5,34,0.333,27.8,7.8,12.2,7.3,0.25,0.25,100,3,8,344
5,35,0.355,28.4,7.8,12,7.2,0.25,0.25,100,2.833333333,9,344
5,36,0.378,28.8,7.8,12,7.3,0.25,0.25,100,3,9,344
